ano,tag,nomeMusica
1955,jazz,Sophisticated Lady
1956,jazz,Manuel's Mambo
1959,pop,Baby's First Christmas
1959,country,You Tell Me
1959,rock,You Tell Me
1959,country,The Battle Of New Orleans
1960,country,Against My Will (LP Version)
1960,pop,Against My Will (LP Version)
1960,rock,Against My Will (LP Version)
1960,country,Your One And Only (LP Version)
1960,pop,Your One And Only (LP Version)
1960,rock,Your One And Only (LP Version)
1960,pop,Dedicated To The One I Love
1960,pop,Will You Love Me Tomorrow
1961,country,A Poor Man's Roses
1961,pop,A Poor Man's Roses
1961,rock,A Poor Man's Roses
1963,country,Fortune Teller
1963,reggae,Fortune Teller
1963,rock,Fortune Teller
1963,pop,Foolish Little Girl
1964,pop,Ain't She Sweet
1964,rock,Ain't She Sweet
1964,country,Time Is On My Side
1964,reggae,Time Is On My Side
1964,rock,Time Is On My Side
1964,country,Around And Around
1964,reggae,Around And Around
1964,rock,Around And Around
1964,pop,(The Best Part Of) Breakin' Up
1965,country,I'd Rather Have Jesus
1966,rock,All Your Love
1966,rock,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission)
1966,rock,Patterns
1966,country,Think
1966,reggae,Think
1966,rock,Think
1967,country,I'm Not Worth the Tears
1967,pop,I'm Not Worth the Tears
1967,jazz,Games That Lovers Play
1967,rock,A Hard Road
1967,rock,Matilda Mother (Stereo) (2007 Remaster)
1967,rock,Strange Days ( LP Version )
1967,country,Shenandoah
1968,rock,Old Friends
1968,country,Stand By Your Man
1968,country,I Stayed Long Enough
1968,rock,I Heard Her Call My Name
1969,rock,Maybe
1969,rock,Fire
1969,country,A Boy Named Sue
1969,rock,A Boy Named Sue
1969,rock,Be Careful With A Fool
1969,rock,Intro 2/ Kick Out The Jams (LP Version)
1970,country,(I'm So) Afraid Of Losing You Again
1970,rock,Don't Waste My Time
1970,rock,Immigrant Song (Album Version)
1970,rock,The American Ruse (LP Version)
1970,country,A Man Can Only Stand Just So Much Pain (Bonus Track)
1971,rock,Caught In A Dream (Album Version)
1971,rock,Be My Lover
1971,country,Letter To Heaven
1971,pop,Letter To Heaven
1971,rock,Get It While You Can
1971,rock,Miss X (LP Version)
1971,rock,Future/Now (LP Version)
1971,rock,What Should Be Done
1972,rock,Piece Of My Heart
1972,rock,Down On Me
1972,pop,Ain't No Sunshine
1972,rock,Ain't No Sunshine
1972,pop,I Wanna Be Where You Are
1972,rock,I Wanna Be Where You Are
1972,pop,Song Sung Blue
1972,rock,Song Sung Blue
1972,pop,Song Sung Blue
1972,rock,Song Sung Blue
1972,rock,The Gold It's In The ... (1996 Digital Remaster)
1972,country,Rocks Off
1972,reggae,Rocks Off
1972,rock,Rocks Off
1972,jazz,China
1973,rock,Rosalita (Come Out Tonight)
1973,rock,Don't Worry Baby (1999 Digital Remaster)
1973,country,Sister Sue
1973,jazz,No Pienses Asi
1973,rock,Baby's On Fire
1973,reggae,Let's Seize The Time
1973,rock,Antarctica Starts Here
1973,pop,Morning Glow
1973,rock,Morning Glow
1973,rock,Bo Diddley
1973,rock,Vietnamese Baby
1974,rock,Lord Of The Thighs
1974,rock,Same Old Song And Dance
1974,country,Crying Time
1974,country,Riot In Cell Block #9
1974,country,Too Much Fun
1974,rock,You Never Cry Like A Lover (LP Version)
1974,country,Lonesome To The Bone
1974,rock,Lonesome To The Bone
1974,rock,Sally Can't Dance
1974,rock,Human Being
1974,rock,Stranded In The Jungle
1974,rock,Human Being
1975,country,Simple Twist Of Fate
1975,rock,Simple Twist Of Fate
1975,country,Cajun Baby (LP Version)
1975,rock,Once I Had A Woman
1975,pop,We're Almost There
1975,rock,We're Almost There
1975,pop,Just A Little Bit Of You
1975,rock,Just A Little Bit Of You
1975,jazz,Journey To Love
1975,rock,Journey To Love
1975,rock,Slip Kid
1976,rock,This One's For You
1976,rock,2HB (1999 Digital Remaster)
1976,rock,She cracked
1977,reggae,It's A Long Way Around
1977,rock,Right To Work
1977,pop,Moss Garden (1999 Digital Remaster)
1977,rock,Moss Garden (1999 Digital Remaster)
1977,country,Light Of A Clear Blue Morning
1977,pop,Light Of A Clear Blue Morning
1977,country,The Son Of Hickory Holler's Tramp
1977,pop,The Son Of Hickory Holler's Tramp
1977,rock,Seventeen
1977,rock,Pretty Vacant
1977,rock,Looking For A Kiss
1977,rock,I'm So Bored With The U.S.A.
1977,rock,3 + 3
1978,country,New Pony
1978,rock,New Pony
1978,rock,Move On
1978,reggae,Soon Come (2002 Digital Remaster)
1978,reggae,Stand Firm (2002 Digital Remaster)
1978,pop,Baby (LP Version)
1978,rock,Baby (LP Version)
1978,rock,So Lonely
1978,rock,Falling In Love
1978,rock,Don't Mess With Me (2006 Digital Remaster)
1979,rock,Reefer Head Woman
1979,rock,Decide
1979,reggae,Down the Line
1979,jazz,Joe Avery's Piece
1979,pop,Joe Avery's Piece
1979,rock,Joe Avery's Piece
1979,rock,Death Or Glory
1979,rock,Mr. Sellack (Album Version)
1979,rock,Anyway_ Anyhow_ Anywhere
1980,reggae,Civilized Reggae
1980,pop,Hey Louise
1980,rock,Hey Louise
1980,rock,Lose This Skin
1980,rock,Man In A Suitcase
1980,rock,Voices Inside My Head
1980,rock,It's Bad For Me (Album Version)
1980,rock,Fool For Your Loving
1981,pop,Baltimore Oriole (2004 Digital Remaster)
1981,rock,Baltimore Oriole (2004 Digital Remaster)
1981,jazz,I'm Not Moving
1981,pop,I'm Not Moving
1981,rock,I'm Not Moving
1981,pop,Careful In Career
1981,rock,Careful In Career
1981,pop,Doubt
1981,rock,Doubt
1981,pop,Primary
1981,rock,Primary
1981,country,Start Me Up
1981,reggae,Start Me Up
1981,rock,Start Me Up
1981,rock,It Only Takes Two To Tango
1981,rock,October
1981,rock,"Dirty Movies"" (Album Version)"
1982,rock,Make That Money (Scrooge's Song) (Album Version)
1982,rock,Goin' To The River
1982,pop,Baal's Hymn
1982,rock,Baal's Hymn
1982,rock,Poor Tom (Album Version)
1982,rock,Hit The Lights
1982,rock,Metal Militia
1982,jazz,I Cannot Believe It's True
1982,pop,I Cannot Believe It's True
1982,rock,I Cannot Believe It's True
1982,rock,Stumble
1982,rock,Murder In The Graveyard
1982,rock,Inoculated City
1982,rock,Losing True (Album Version)
1983,jazz,I've Been Missin' You
1983,rock,There She Goes Again
1983,pop,Hunter And The Hunted (Live)
1983,rock,Hunter And The Hunted (Live)
1983,rock,Playboy
1983,rock,King Of Pain
1983,rock,Wrapped Around Your Finger
1983,rock,House Of Pain
1983,rock,Other Side Of Antarctica
1983,pop,Dance Hall Days
1983,rock,Dance Hall Days
1984,rock,This Guitar Says Sorry
1984,rock,Working On The Highway
1984,pop,Brillantin' Brutal'
1984,rock,Shed So Many Tears
1984,pop,Girl You're So Together
1984,rock,Girl You're So Together
1984,pop,Brooklyn On A Saturday Night
1984,rock,Brooklyn On A Saturday Night
1984,rock,Te Hacen Falta Vitaminas
1984,rock,The Attitude Song
1984,rock,Salamanders In The Sun
1984,rock,Light
1984,rock,Help Youngblood Get To the Freaky Party
1984,reggae,Sweet & Dandy
1984,rock,Sweet & Dandy
1985,rock,Only Lonely
1985,rock,Josephine
1985,pop,Tous Les Garçons Et Les Filles
